Experiment,Mood,ItemName,VerbType,Verb,Group,Itemno,Sentence,Question,EmbeddedVerb,
Experiment,ind,critical+1+ind,Factive,recordar,A,1,Ana no recordaba que Juan vivía en Alemania.,¿Vivía Juan en Alemania?,vivir,
Experiment,subj,critical+1+subj,Factive,recordar,B,1,Ana no recordaba que Juan viviese en Alemania.,¿Vivía Juan en Alemania?,vivir,
Experiment,ind,critical+2+ind,Factive,recordar,B,2,Pedro no recordaba que Luis tenía dos hermanos.,¿Tenía Luis dos hermanos?,tener,
Experiment,subj,critical+2+subj,Factive,recordar,A,2,Pedro no recordaba que Luis tuviese dos hermanos.,¿Tenía Luis dos hermanos?,tener,
Experiment,ind,critical+3+ind,Factive,notar,A,3,María no notó que Ana estaba embarazada.,¿Estaba Ana embarazada?,estar,
Experiment,subj,critical+3+subj,Factive,notar,B,3,María no notó que Ana estuviese embarazada.,¿Estaba Ana embarazada?,estar,
Experiment,ind,critical+4+ind,Factive,notar,B,4,Carlos no notó que Ana había subido al piso de arriba.,¿Había subido Ana al piso de arriba?,subir,
Experiment,subj,critical+4+subj,Factive,notar,A,4,Carlos no notó que Ana hubiese subido al piso de arriba.,¿Había subido Ana al piso de arriba?,subir,
Experiment,ind,critical+5+ind,Factive,saber,A,5,Helena no sabía que Carlos estaba enamorado de ella.,¿Estaba Carlos enamorado de ella?,estar,
Experiment,subj,critical+5+subj,Factive,saber,B,5,Helena no sabía que Carlos estuviese enamorado de ella.,¿Estaba Carlos enamorado de ella?,estar,
Experiment,ind,critical+6+ind,Factive,saber,B,6,Sofía no sabía que Juan había dejado la puerta abierta.,¿Había dejado Juan la puerta abierta?,haber dejado,
Experiment,subj,critical+6+subj,Factive,saber,A,6,Sofía no sabía que Juan hubiese dejado la puerta abierta.,¿Había dejado Juan la puerta abierta?,haber dejado,
Experiment,ind,critical+7+ind,Factive,descubrir,A,7,Carmen no descubrió que Víctor estaba mintiendo.,¿Estaba Víctor mintiendo?,mentir ,
Experiment,subj,critical+7+subj,Factive,descubrir,B,7,Carmen no descubrió que Víctor estuviese mintiendo.,¿Estaba Víctor mintiendo?,mentir ,
Experiment,ind,critical+8+ind,Factive,descubrir,B,8,Gema no descubrió que Laura era la asesina.,¿Era Laura la  asesina?,ser,
Experiment,subj,critical+8+subj,Factive,descubrir,A,8,Gema no descubrió que Laura fuese la asesina.,¿Era Laura la asesina?,ser,
Experiment,ind,critical+9+ind,Factive,ver,A,9,Carmen no vio que María llegaba a tiempo.,¿Llegó María a tiempo?,llegar,
Experiment,subj,critical+9+subj,Factive,ver,B,9,Carmen no vio que María llegase a tiempo.,¿Llegó María a tiempo?,llegar,
Experiment,ind,critical+10+ind,Factive,ver,B,10,Carmen no vio que Gonzalo estaba sentado en la primera fila.,¿Estaba Gonzalo sentado en la primera fila?,estar,
Experiment,subj,critical+10+subj,Factive,ver,A,10,Carmen no vio que Gonzalo estuviese sentado en la primera fila.,¿Estaba Gonzalo sentado en la primera fila?,estar,
Experiment,ind,critical+11+ind,NotFactive,decir,A,11,Raquel no dijo que María vivía en Noruega.,¿Vivía María en Noruega?,vivir,
Experiment,subj,critical+11+subj,NotFactive,decir,B,11,Raquel no dijo que María viviese en Noruega.,¿Vivía María en Noruega?,vivir,
Experiment,ind,critical+12+ind,NotFactive,decir,B,12,Clara no dijo que Mario tenía 5 casas.,¿Tenía Mario 5 casas?,tener,
Experiment,subj,critical+12+subj,NotFactive,decir,A,12,Clara no dijo que Mario tuviese 5 casas.,¿Tenía Mario 5 casas?,tener,
Experiment,ind,critical+13+ind,NotFactive,contar,A,13,Pedro no nos contó que Ana estaba casada.,¿Estaba Ana casada?,estar,
Experiment,subj,critical+13+subj,NotFactive,contar,B,13,Pedro no nos contó que Ana estuviese casada.,¿Estaba Ana casada?,estar,
Experiment,ind,critical+14+ind,NotFactive,contar,B,14,Alba no nos contó que María había subido a casa.,¿Había subido María a casa?,subir,
Experiment,subj,critical+14+subj,NotFactive,contar,A,14,Alba no nos contó que María hubiese subido a casa.,¿Había subido María a casa?,subir,
Experiment,ind,critical+15+ind,NotFactive,pensar,A,15,Carlos no pensaba que Ana estaba cansada.,¿Estaba Ana cansada?,estar,
Experiment,subj,critical+15+subj,NotFactive,pensar,B,15,Carlos no pensaba que Ana estuviese cansada.,¿Estaba Ana cansada?,estar,
Experiment,ind,critical+16+ind,NotFactive,pensar,B,16,Laura no pensaba que Oscar había dejado el grifo abierto.,¿Había dejado Oscar el grifo abierto?,haber dejado,
Experiment,subj,critical+16+subj,NotFactive,pensar,A,16,Laura no pensaba que Oscar hubiese dejado el grifo abierto.,¿Había dejado Oscar el grifo abierto?,haber dejado,
Experiment,ind,critical+17+ind,NotFactive,Creer,A,17,Gerardo no creía que su vecino estaba mintiendo.,¿Estaba su vecino mintiendo?,mentir ,
Experiment,subj,critical+17+subj,NotFactive,Creer,B,17,Gerardo no creía que su vecino estuviese mintiendo.,¿Estaba su vecino mintiendo?,mentir ,
Experiment,ind,critical+18+ind,NotFactive,Creer,B,18,Clara no creía que Lucas era abogado.,¿Era Lucas abogado?,ser,
Experiment,subj,critical+18+subj,NotFactive,Creer,A,18,Clara no creía que Lucas fuese abogado.,¿Era Lucas abogado?,ser,
Experiment,ind,critical+19+ind,NotFactive,sospechar,A,19,Rodrigo no sospechaba que Ana iba a llegar tarde.,¿Iba a llegar Ana tarde?,llegar,
Experiment,subj,critical+19+subj,NotFactive,sospechar,B,19,Rodrigo no sospechaba que Ana fuera a llegar tarde.,¿Iba a llegar Ana tarde?,llegar,
Experiment,ind,critical+20+ind,NotFactive,sospechar,B,20,Iván no sospechaba que su gato estaba escondido en el armario.,¿Estaba su gato escondido en el armario?,estar,
Experiment,subj,critical+20+subj,NotFactive,sospechar,A,20,Iván no sospechaba que su gato estuviese escondido en el armario.,¿Estaba su gato escondido en el armario?,estar,
Experiment,ind,critical+21+ind,Fiction,soñar,A,21,Ana no soñó que Juan vivía en Grecia.,¿Vivía Juan en Grecia?,vivir,
Experiment,subj,critical+21+subj,Fiction,soñar,B,21,Ana no soñó que Juan viviese en Grecia.,¿Vivía Juan en Grecia?,vivir,
Experiment,ind,critical+22+ind,Fiction,soñar,B,22,Ana no soñó que Belén tenía 5 gatos.,¿Tenía Belén 5 gatos?,tener,
Experiment,subj,critical+22+subj,Fiction,soñar,A,22,Ana no soñó que Belén tuviese 5 gatos.,¿Tenía Belén 5 gatos?,tener,
Experiment,ind,critical+23+ind,Fiction,fantasear,A,23,Olga no fantaseaba con que Laura estaba soltera.,¿Estaba Laura soltera?,estar,
Experiment,subj,critical+23+subj,Fiction,fantasear,B,23,Olga no fantaseaba con que Laura estuviese soltera.,¿Estaba Laura soltera?,estar,
Experiment,ind,critical+24+ind,Fiction,fantasear,B,24,Juan no fantaseaba con que su libro iba a subir en el ranking.,¿Subía el libro de Juan en el ranking ?,subir,
Experiment,subj,critical+24+subj,Fiction,fantasear,A,24,Juan no fantaseaba con que su libro fuese a subir en el ranking.,¿Subía el libro de Juan en el ranking ?,subir,
Experiment,ind,critical+25+ind,Fiction,inventarse,A,25,Nacho no se inventó que su perro se estaba muriendo.,¿Estaba su perro muriendo?,estar,
Experiment,subj,critical+25+subj,Fiction,inventarse,B,25,Nacho no se inventó que su perro se estuviese muriendo.,¿Estaba su perro muriendo?,estar,
Experiment,ind,critical+26+ind,Fiction,inventarse,B,26,Rubén no se inventó que Julio se había dejado la puerta abierta.,¿Se había dejado Julio la puerta abierta?,haber dejado,
Experiment,subj,critical+26+subj,Fiction,inventarse,A,26,Rubén no se inventó que Julio se hubiese dejado la puerta abierta.,¿Se había dejado Julio la puerta abierta?,haber dejado,
Experiment,ind,critical+27+ind,Fiction,fingir,A,27,Javi no fingió que su padres le habían mentido.,¿Le habían mentido sus padres?,mentir ,
Experiment,subj,critical+27+subj,Fiction,fingir,B,27,Javi no fingió que sus padres le hubiesen mentido.,¿Le habían mentido sus padres?,mentir ,
Experiment,ind,critical+28+ind,Fiction,fingir,B,28,Javi no fingió que Ana era su amiga.,¿Era Ana su amiga?,ser,
Experiment,subj,critical+28+subj,Fiction,fingir,A,28,Javi no fingió que Ana fuese su amiga.,¿Era Ana su amiga?,ser,
